주소명,권역,주소,층,"엘리베이터유무(x:0,y:1)",난이도,동시작,동 끝
1117,20,서울 강남구 선릉로 222 대치아이파크아파트,25,1,,101,111
1118,20,서울 강남구 도곡로 404 대치동롯데캐슬리베아파트,20,1,,101,108
1119,20,서울 강남구 도곡로 418 강원빌딩,5,0,,,
1120,20,서울 강남구 도곡로 414 삼성빌딩,5,0,,,
1121,20,서울 강남구 도곡로 63길 23 성진회관,5,0,,,
1122,21,서울 강남구 도곡로 443 금성빌딩,5,0,,,
1123,21,서울 강남구 삼성로 311 제동빌딩,5,1,,,
1124,21,서울 강남구 삼성로 63길 19,5,0,,,
1125,21,서울 강남구 삼성로 63길11 형지빌,4,0,,,
1126,21,서울 강남구 삼성로 331,5,0,,,
1127,21,서울 강남구 삼성로 67길 5,5,0,,,
1128,21,서울 강남구 삼성로 67길 13,2,0,,,
1129,21,서울 강남구 삼성로 67길 21,4,0,,,
1130,22,서울 강남구 삼성로 67길 14 도성아파트,7,1,,,
1131,22,서울 강남구 삼성로 67길 22,4,0,,,
1132,22,서울 강남구 역삼로 468,3,1,,,
1133,22,서울 강남구 삼성로 71길5,3,1,,,
1134,22,서울 강남구 삼성로 71길 12 주원빌딩,3,1,,,
1135,22,서울 강남구 삼성로 71길 18,5,1,,,
1136,22,서울 강남구 삼성로 69길 10,2,0,,,
1137,22,서울 강남구 삼성로 69길 20,3,0,,,
1138,22,서울 강남구 삼성로 63길12,5,0,,,
1139,22,서울 강남구 삼성로 63길12-12,5,0,,,
1140,22,서울 강남구 삼성로 63길 16-19 조음찬주택,7,0,,,
1141,23,서울 강남구 도곡로77길 3,8,1,,,
1142,23,서울 강남구 도곡로 429,5,1,,,
1143,23,서울 강남구 도곡로 419,5,0,,,
1144,23,서울 강남구 도곡로69길 16 청원아파트,10,1,,101,102
1145,23,서울 강남구 삼성로 63길 45 삼성빌라,5,0,,,
1146,23,서울 강남구 삼성로 63길 37 한티아파트,7,1,,101,102
1147,23,서울 강남구 삼성로 61길 36 나그랑빌,2,0,,,
1148,23,서울 강남구 도곡로77길 15 현대빌라,5,0,,,
1149,23,서울 강남구 삼성로67길 27 예인쉐르빌,5,0,,,
1150,23,서울 강남구 도곡로 73길 38 푸른들빌라,5,0,,,
1151,23,서울 강남구 삼성로 63길 48-40,2,0,,,
1152,23,서울 강남구 삼성로 67길 53 스톤빌리지대치4차아파트,11,1,,,
1153,23,서울 강남구 삼성로63길 52,4,1,,,
1154,24,서울 강남구 선릉로 326 도일상가,4,0,,,
1155,24,서울 강남구 도곡로 413,12,1,,,
1156,24,서울 강남구 도곡로 409,7,1,,,
1157,24,서울 강남구 선릉로 64길40,7,0,,,
1158,24,서울 강남구 선릉로64길 24,3,0,,,
1159,24,서울 강남구 도곡로 63길 30,2,0,,,
1160,24,서울 강남구 선릉로 64길 15-15,3,0,,,
1161,24,서울 강남구 선릉로64길 11-5,4,1,,,
1162,25,서울 강남구 선릉로72길 45 대치풍림아이원2차아파트,8,1,,,
1163,25,서울 강남구 역삼로74길20 동산빌라,5,0,,,
1164,25,서울 강남구 선릉로68길 33 현경빌라,5,0,,,
1165,25,서울 강남구 선릉로72길 10-13 더힐하우스,5,1,,,
1166,25,서울 강남구 선릉로 328 남서울상가,3,0,,,
1167,25,서울 강남구 선릉로 340 대치 EM프라자,4,1,,,
1168,25,서울 강남구 선릉로72길 10-7,5,1,,,
1169,25,서울 강남구 선릉로72길38,4,1,,,
1170,25,서울 강남구 역삼로 70길 24,5,0,,,
1171,25,서울 강남구 역삼로 64길 23,2,0,,,
1172,26,서울 강남구 대치동 903-20,4,0,,,
1173,26,서울 강남구 역삼로 455-6,4,0,,,
1174,26,서울특별시 강남구 대치동 901-28,3,0,,,
1175,26,서울특별시 강남구 대치동 901-53,4,0,,,
1176,26,서울특별시 강남구 대치동 901-5,6,1,,,
1177,26,서울특별시 강남구 대치동 901-10,4,0,,,
1178,26,서울특별시 강남구 대치동 905-11,4,0,,,
1179,27,서울특별시 강남구 대치동 893,15,1,,101,103
1180,27,서울특별시 강남구 대치동 894-7,5,0,,,
1181,27,서울특별시 강남구 대치동 894-11,4,0,,,
1182,27,서울특별시 강남구 대치동 891-47,3,0,,,
1183,27,서울특별시 강남구 대치동 891-50,8,1,,,
1184,27,서울특별시 강남구 대치동 891-40,4,0,,,
1185,27,서울특별시 강남구 대치동 891-11,10,1,,,
1186,27,서울특별시 강남구 대치동 896-19,5,0,,,
1187,27,서울특별시 강남구 대치동 896-9,4,0,,,
1188,28,서울특별시 강남구 대치동 900-59,5,0,,,
1189,28,서울특별시 강남구 대치동 897-24,4,0,,,
1190,28,서울특별시 강남구 대치동 899-5,4,0,,,
1191,28,서울특별시 강남구 대치동 898-21,6,1,,,
1192,28,서울특별시 강남구 대치동 898-2,4,1,,,
1193,28,서울특별시 강남구 대치동 889-75,4,0,,,
1194,28,서울특별시 강남구 대치동 889-60,4,0,,,
1195,28,서울특별시 강남구 대치동 889-53,6,1,,,
1196,28,서울특별시 강남구 대치동 890-56,5,1,,,
1197,29,서울특별시 강남구 도곡동 91-5,15,1,,101,110
1198,30,서울특별시 강남구 도곡동 538-3,15,1,,101,108
1199,31,서울특별시 강남구 도곡동 527,15,1,,201,212
1200,32,서울특별시 강남구 역삼동 757,15,1,,101,112
1201,32,서울특별시 강남구 역삼동 765-32,10,1,,101,103
1202,33,서울특별시 강남구 역삼동 755-4,15,1,,101,112
1203,33,서울특별시 강남구 역삼동 755-1,18,1,,301,305
1204,34,서울특별시 강남구 역삼동 762-3,15,1,,101,103
1205,34,서울특별시 강남구 역삼동 763-16,15,1,,201,208
1206,35,서울특별시 강남구 역삼동 754-1,15,1,,101,111
1207,35,서울특별시 강남구 역삼동 754,15,1,,101,107
1208,36,서울특별시 강남구 역삼동 713-7,15,1,,101,105
1209,36,서울특별시 강남구 역삼동 713-12,15,1,,205,207
1210,36,서울특별시 강남구 역삼동 716-3,25,1,,501,503
1211,36,서울특별시 강남구 역삼동 716,21,1,,101,
1212,37,서울특별시 강남구 역삼동 708-26,18,1,,,
1213,37,서울특별시 강남구 역삼동 708-25,6,1,,,
1214,37,서울특별시 강남구 역삼동 708-22,10,1,,,
1215,37,서울특별시 강남구 역삼동 708-20,14,1,,,
1216,37,서울특별시 강남구 역삼동 708-8,20,1,,,
1217,37,서울특별시 강남구 역삼동 708-7,4,1,,,
1218,37,서울특별시 강남구 역삼동 708-41,8,1,,,
1219,37,서울특별시 강남구 역삼동 708-6,15,1,,,
1220,37,서울특별시 강남구 역삼동 708-16,15,1,,,
1221,37,서울특별시 강남구 역삼동 708,19,1,,,
1222,37,서울특별시 강남구 역삼동 707-38,15,1,,,
1223,37,서울특별시 강남구 역삼동 707-27,18,1,,,
1224,37,서울특별시 강남구 역삼동 707-34,22,1,,,
1225,37,서울특별시 강남구 역삼동 707-19,24,1,,,
1226,37,서울특별시 강남구 역삼동 707-18,11,1,,,
1227,37,서울특별시 강남구 역삼동 707-17,,,,,
1228,37,서울특별시 강남구 역삼동 707-16,6,1,,,
1229,37,서울특별시 강남구 역삼동 707-15,11,1,,,
1230,37,서울특별시 강남구 역삼동 707-12,5,0,,,
1231,37,서울특별시 강남구 역삼동 707-11,4,0,,,
1232,37,서울특별시 강남구 역삼동 707-10,10,1,,,
1233,37,서울특별시 강남구 역삼동 707-9,12,1,,,
1234,37,서울특별시 강남구 역삼동 707-7,10,1,,,
1235,37,서울특별시 강남구 역삼동 707-4,,,,,
1236,37,서울특별시 강남구 역삼동 707-3,16,1,,,
1237,37,서울특별시 강남구 역삼동 707-2,17,1,,,
1238,37,서울특별시 강남구 역삼동 707-1,15,1,,,
1239,37,서울특별시 강남구 역삼동 706-9,14,1,,,
1240,37,서울특별시 강남구 역삼동 706-10,10,1,,,
1241,37,서울특별시 강남구 역삼동 706-11,10,1,,,
1242,37,서울특별시 강남구 역삼동 706-12,13,1,,,
1243,37,서울특별시 강남구 역삼동 706-19,15,1,,,
1244,37,서울특별시 강남구 역삼동 706-18,9,1,,,
1245,37,서울특별시 강남구 역삼동 706-17,8,1,,,
1246,37,서울특별시 강남구 역삼동 706-16,9,1,,,
1247,37,서울특별시 강남구 역삼동 706-15,10,1,,,
1248,37,서울특별시 강남구 역삼동 706-13,18,,,,
1249,37,서울특별시 강남구 역삼동 706-26,16,,,,
1250,37,서울특별시 강남구 역삼동 706-25,13,1,,,
1251,37,서울특별시 강남구 역삼동 706-24 진넥스빌2,11,,,,
1252,37,서울특별시 강남구 역삼동 706-20 한진넥스빌,26,1,,,
1253,37,서울특별시 강남구 역삼동 706 위워크타워,22,1,,,
1254,37,서울특별시 강남구 역삼동 706-1 카이트타워,20,1,,,
1255,38,서울 강남구 역삼동 709-5 테헤란아이파크,20,1,,101,106
1256,38,서울 강남구 역삼동 711-3 역삼자이아파트,28,1,,101,103
1257,38,서울 강남구 역삼동 710 현대까르띠에710아파트,20,1,,101,103
1258,38,서울 강남구 역삼동 712-3 강남센트럴 아이파크,26,1,,101,105
1259,38,서울특별시 강남구 역삼동 712-5 역삼센트럴2차아이파크,11,1,,,
